Llegada=248, Procesamiento=316
Llegada=39031, Procesamiento=670
Llegada=39042, Procesamiento=706
Llegada=39069, Procesamiento=888
Llegada=39087, Procesamiento=639
Llegada=39190, Procesamiento=146
Llegada=39197, Procesamiento=878
Llegada=39297, Procesamiento=453
Llegada=39422, Procesamiento=929
Llegada=39587, Procesamiento=747
Llegada=39598, Procesamiento=399
Llegada=39770, Procesamiento=692
Llegada=39908, Procesamiento=19
Llegada=39915, Procesamiento=280
Llegada=39916, Procesamiento=995
Llegada=40138, Procesamiento=645
Llegada=40188, Procesamiento=369
Llegada=40388, Procesamiento=72
Llegada=40414, Procesamiento=575
Llegada=40693, Procesamiento=232
Llegada=40808, Procesamiento=341
Llegada=40897, Procesamiento=982
Llegada=41212, Procesamiento=642
Llegada=41608, Procesamiento=437
Llegada=41626, Procesamiento=719
Llegada=41688, Procesamiento=4
Llegada=41692, Procesamiento=972
Llegada=41807, Procesamiento=167
Llegada=41997, Procesamiento=401
Llegada=42000, Procesamiento=683
Llegada=42261, Procesamiento=417
Llegada=42594, Procesamiento=426
Llegada=42621, Procesamiento=88
Llegada=42674, Procesamiento=167
Llegada=42796, Procesamiento=691
Llegada=42972, Procesamiento=549
Llegada=42996, Procesamiento=594
Llegada=43048, Procesamiento=807
Llegada=43094, Procesamiento=767
Llegada=43109, Procesamiento=146
Llegada=43378, Procesamiento=898
Llegada=43560, Procesamiento=435
Llegada=43655, Procesamiento=918
Llegada=43675, Procesamiento=780
Llegada=43750, Procesamiento=866
Llegada=43945, Procesamiento=752
Llegada=43946, Procesamiento=442
Llegada=43969, Procesamiento=401
Llegada=44138, Procesamiento=551
Llegada=44211, Procesamiento=607
Llegada=44289, Procesamiento=864
Llegada=44633, Procesamiento=115
Llegada=44799, Procesamiento=631
Llegada=44905, Procesamiento=908
Llegada=45033, Procesamiento=688
Llegada=45280, Procesamiento=399
Llegada=45353, Procesamiento=726
Llegada=45374, Procesamiento=466
Llegada=45405, Procesamiento=115
Llegada=45754, Procesamiento=224
Llegada=45931, Procesamiento=619
Llegada=45944, Procesamiento=77
Llegada=46009, Procesamiento=246
Llegada=46076, Procesamiento=444
Llegada=46095, Procesamiento=493
Llegada=46117, Procesamiento=448
Llegada=46279, Procesamiento=872
Llegada=46508, Procesamiento=153
Llegada=46667, Procesamiento=599
Llegada=46811, Procesamiento=662
Llegada=47015, Procesamiento=549
Llegada=47128, Procesamiento=406
Llegada=47188, Procesamiento=337
Llegada=47456, Procesamiento=122
Llegada=47531, Procesamiento=843
Llegada=47821, Procesamiento=865
Llegada=47868, Procesamiento=553
Llegada=47913, Procesamiento=871
Llegada=48045, Procesamiento=402
Llegada=48150, Procesamiento=145
Llegada=48305, Procesamiento=138
Llegada=48377, Procesamiento=566
Llegada=48490, Procesamiento=923
Llegada=48715, Procesamiento=937
Llegada=48731, Procesamiento=427
Llegada=48940, Procesamiento=264
Llegada=48999, Procesamiento=280
Llegada=49053, Procesamiento=892
Llegada=49110, Procesamiento=970
Llegada=49366, Procesamiento=601
Llegada=49511, Procesamiento=807
Llegada=49519, Procesamiento=930
Llegada=49573, Procesamiento=126
Llegada=49636, Procesamiento=763
Llegada=49702, Procesamiento=51
Llegada=49725, Procesamiento=329
Llegada=49753, Procesamiento=42
Llegada=49760, Procesamiento=607
Llegada=50010, Procesamiento=749
Llegada=50067, Procesamiento=972
Llegada=50098, Procesamiento=675
Llegada=50103, Procesamiento=641
Llegada=50198, Procesamiento=717
Llegada=50314, Procesamiento=11
Llegada=50577, Procesamiento=216
Llegada=50615, Procesamiento=590
Llegada=50657, Procesamiento=38
Llegada=51054, Procesamiento=604
Llegada=51112, Procesamiento=280
Llegada=51194, Procesamiento=32
Llegada=51194, Procesamiento=810
Llegada=51243, Procesamiento=924
Llegada=51257, Procesamiento=688
Llegada=51282, Procesamiento=278
Llegada=51501, Procesamiento=868
Llegada=51585, Procesamiento=41
Llegada=51597, Procesamiento=89
Llegada=51644, Procesamiento=265
Llegada=51959, Procesamiento=976
Llegada=51963, Procesamiento=836
Llegada=52364, Procesamiento=505
Llegada=52441, Procesamiento=682
Llegada=52494, Procesamiento=970
Llegada=52739, Procesamiento=614
Llegada=52808, Procesamiento=168
Llegada=52969, Procesamiento=952
Llegada=53049, Procesamiento=542
Llegada=53052, Procesamiento=607
Llegada=53145, Procesamiento=431
Llegada=53206, Procesamiento=309
Llegada=53639, Procesamiento=682
Llegada=53700, Procesamiento=46
Llegada=53910, Procesamiento=649
Llegada=53959, Procesamiento=957
Llegada=53987, Procesamiento=793
Llegada=54117, Procesamiento=692
Llegada=54126, Procesamiento=104
Llegada=54126, Procesamiento=266
Llegada=54159, Procesamiento=855
Llegada=54271, Procesamiento=734
Llegada=54470, Procesamiento=874
Llegada=54552, Procesamiento=968
Llegada=54584, Procesamiento=273
Llegada=54625, Procesamiento=784
Llegada=54722, Procesamiento=124
Llegada=54785, Procesamiento=169
Llegada=54858, Procesamiento=562
Llegada=55060, Procesamiento=610
Llegada=55294, Procesamiento=440
Llegada=55364, Procesamiento=689
Llegada=55426, Procesamiento=268
Llegada=55528, Procesamiento=496
Llegada=55560, Procesamiento=389
Llegada=55674, Procesamiento=349
Llegada=55867, Procesamiento=563
Llegada=55882, Procesamiento=685
Llegada=56013, Procesamiento=403
Llegada=56041, Procesamiento=6
Llegada=56142, Procesamiento=163
Llegada=56151, Procesamiento=376
Llegada=56181, Procesamiento=884
Llegada=56287, Procesamiento=872
Llegada=56467, Procesamiento=636
Llegada=56568, Procesamiento=916
Llegada=56706, Procesamiento=655
Llegada=56953, Procesamiento=58
Llegada=57380, Procesamiento=104
Llegada=57423, Procesamiento=259
Llegada=57552, Procesamiento=675
Llegada=57756, Procesamiento=809
Llegada=57772, Procesamiento=586
Llegada=57780, Procesamiento=255
Llegada=57917, Procesamiento=928
Llegada=58022, Procesamiento=103
Llegada=58044, Procesamiento=118
Llegada=58115, Procesamiento=292
Llegada=58116, Procesamiento=375
Llegada=58118, Procesamiento=7
Llegada=58127, Procesamiento=60
Llegada=58147, Procesamiento=295
Llegada=58187, Procesamiento=713
Llegada=58218, Procesamiento=443
Llegada=58353, Procesamiento=125
Llegada=58414, Procesamiento=719
Llegada=58448, Procesamiento=846
Llegada=58457, Procesamiento=892
Llegada=58540, Procesamiento=909
Llegada=58558, Procesamiento=275
Llegada=58636, Procesamiento=404
Llegada=58716, Procesamiento=950
Llegada=58830, Procesamiento=163
Llegada=58970, Procesamiento=297
Llegada=59341, Procesamiento=758
Llegada=59426, Procesamiento=620
Llegada=59469, Procesamiento=691
Llegada=59609, Procesamiento=399
Llegada=59633, Procesamiento=176
Llegada=59665, Procesamiento=933
Llegada=59783, Procesamiento=500
Llegada=59816, Procesamiento=107
Llegada=60198, Procesamiento=746
Llegada=60229, Procesamiento=142
Llegada=60454, Procesamiento=997
Llegada=60474, Procesamiento=695
Llegada=60523, Procesamiento=827
Llegada=60597, Procesamiento=926
Llegada=60737, Procesamiento=278
Llegada=60765, Procesamiento=279
Llegada=60808, Procesamiento=307
Llegada=60831, Procesamiento=842
Llegada=61097, Procesamiento=160
Llegada=61153, Procesamiento=830
Llegada=61237, Procesamiento=908
Llegada=61331, Procesamiento=43
Llegada=61349, Procesamiento=93
Llegada=61393, Procesamiento=621
Llegada=61450, Procesamiento=793
Llegada=61552, Procesamiento=558
Llegada=61644, Procesamiento=321
Llegada=61669, Procesamiento=619
Llegada=61726, Procesamiento=563
Llegada=61961, Procesamiento=361
Llegada=62004, Procesamiento=796
Llegada=62200, Procesamiento=49
Llegada=62247, Procesamiento=959
Llegada=62270, Procesamiento=895
Llegada=62335, Procesamiento=765
Llegada=62363, Procesamiento=355
Llegada=62394, Procesamiento=518
Llegada=62405, Procesamiento=953
Llegada=62537, Procesamiento=211
Llegada=62603, Procesamiento=804
Llegada=62672, Procesamiento=773
Llegada=62713, Procesamiento=15
Llegada=62805, Procesamiento=690
Llegada=62816, Procesamiento=911
Llegada=62838, Procesamiento=445
Llegada=62855, Procesamiento=216
Llegada=62956, Procesamiento=396
Llegada=62965, Procesamiento=528
Llegada=63018, Procesamiento=758
Llegada=63056, Procesamiento=539
Llegada=63115, Procesamiento=28
Llegada=63137, Procesamiento=555
Llegada=63144, Procesamiento=127
Llegada=63190, Procesamiento=91
Llegada=63250, Procesamiento=292
Llegada=63337, Procesamiento=978
Llegada=63406, Procesamiento=558
Llegada=63410, Procesamiento=542
Llegada=63448, Procesamiento=939
Llegada=63470, Procesamiento=250
Llegada=63529, Procesamiento=63
Llegada=63748, Procesamiento=183
Llegada=63772, Procesamiento=492
Llegada=63778, Procesamiento=438
Llegada=63839, Procesamiento=413
Llegada=64001, Procesamiento=185
Llegada=64075, Procesamiento=465
Llegada=64165, Procesamiento=435
Llegada=64218, Procesamiento=172
Llegada=64320, Procesamiento=570
Llegada=64338, Procesamiento=204
Llegada=64465, Procesamiento=606
Llegada=64568, Procesamiento=910
Llegada=64667, Procesamiento=898
Llegada=64690, Procesamiento=950
Llegada=64906, Procesamiento=497
Llegada=64997, Procesamiento=23
Llegada=65036, Procesamiento=74
Llegada=65039, Procesamiento=147
Llegada=65042, Procesamiento=755
Llegada=65153, Procesamiento=146
Llegada=65241, Procesamiento=659
Llegada=65286, Procesamiento=6
Llegada=65483, Procesamiento=691
Llegada=66025, Procesamiento=962
Llegada=66036, Procesamiento=369
Llegada=66089, Procesamiento=667
Llegada=66345, Procesamiento=498
Llegada=66354, Procesamiento=851
Llegada=66420, Procesamiento=504
Llegada=66613, Procesamiento=210
Llegada=66696, Procesamiento=225
Llegada=66809, Procesamiento=209
Llegada=67003, Procesamiento=609
Llegada=67016, Procesamiento=753
Llegada=67204, Procesamiento=869
Llegada=67362, Procesamiento=290
Llegada=67454, Procesamiento=987
Llegada=67472, Procesamiento=250
Llegada=67529, Procesamiento=958
Llegada=67547, Procesamiento=875
Llegada=67644, Procesamiento=900
Llegada=67759, Procesamiento=195
Llegada=67781, Procesamiento=548
Llegada=67787, Procesamiento=60
Llegada=67791, Procesamiento=9
Llegada=67882, Procesamiento=91
Llegada=67971, Procesamiento=17
Llegada=67995, Procesamiento=511
Llegada=68041, Procesamiento=242
Llegada=68144, Procesamiento=666
Llegada=68615, Procesamiento=478
Llegada=68729, Procesamiento=775
Llegada=68748, Procesamiento=441
Llegada=68815, Procesamiento=134
Llegada=69168, Procesamiento=475
Llegada=69276, Procesamiento=458
Llegada=69335, Procesamiento=81
Llegada=69348, Procesamiento=456
Llegada=69388, Procesamiento=266
Llegada=69398, Procesamiento=564
Llegada=69445, Procesamiento=599
Llegada=69490, Procesamiento=775
Llegada=69557, Procesamiento=817
Llegada=69607, Procesamiento=559
Llegada=69985, Procesamiento=458
Llegada=70044, Procesamiento=219
Llegada=70281, Procesamiento=86
Llegada=70489, Procesamiento=822
Llegada=70597, Procesamiento=860
Llegada=70655, Procesamiento=621
Llegada=70839, Procesamiento=603
Llegada=71018, Procesamiento=959
Llegada=71071, Procesamiento=669
Llegada=71264, Procesamiento=956
Llegada=71840, Procesamiento=47
Llegada=71954, Procesamiento=177
Llegada=71990, Procesamiento=349
Llegada=71995, Procesamiento=50
Llegada=72075, Procesamiento=370
Llegada=72113, Procesamiento=336
Llegada=72183, Procesamiento=311
Llegada=72210, Procesamiento=189
Llegada=72405, Procesamiento=702
Llegada=72452, Procesamiento=868
Llegada=72515, Procesamiento=879
Llegada=72537, Procesamiento=789
Llegada=72557, Procesamiento=254
Llegada=72954, Procesamiento=306
Llegada=72976, Procesamiento=674
Llegada=72987, Procesamiento=859
Llegada=73019, Procesamiento=158
Llegada=73032, Procesamiento=488
Llegada=73148, Procesamiento=948
Llegada=73284, Procesamiento=991
Llegada=73400, Procesamiento=501
Llegada=73452, Procesamiento=286
Llegada=73560, Procesamiento=399
Llegada=73601, Procesamiento=377
Llegada=73614, Procesamiento=668
Llegada=73701, Procesamiento=895
Llegada=74139, Procesamiento=956
Llegada=74353, Procesamiento=892
Llegada=74426, Procesamiento=602
Llegada=74448, Procesamiento=180
Llegada=74452, Procesamiento=660
Llegada=74455, Procesamiento=715
Llegada=74457, Procesamiento=714
Llegada=74498, Procesamiento=506
Llegada=74503, Procesamiento=86
Llegada=74521, Procesamiento=482
Llegada=74595, Procesamiento=121
Llegada=74728, Procesamiento=117
Llegada=74841, Procesamiento=876
Llegada=74917, Procesamiento=167
Llegada=74942, Procesamiento=230
Llegada=75165, Procesamiento=977
Llegada=75410, Procesamiento=837
Llegada=75614, Procesamiento=615
Llegada=75888, Procesamiento=233
Llegada=75977, Procesamiento=982
Llegada=76040, Procesamiento=394
Llegada=76098, Procesamiento=752
Llegada=76139, Procesamiento=966
Llegada=76152, Procesamiento=2
Llegada=76207, Procesamiento=623
Llegada=76318, Procesamiento=47
Llegada=76375, Procesamiento=174
Llegada=76467, Procesamiento=139
Llegada=76541, Procesamiento=959
Llegada=76703, Procesamiento=312
Llegada=76745, Procesamiento=26
Llegada=76767, Procesamiento=298
Llegada=76772, Procesamiento=95
Llegada=76875, Procesamiento=457
Llegada=77006, Procesamiento=440
Llegada=77034, Procesamiento=401
Llegada=77056, Procesamiento=127
Llegada=77059, Procesamiento=27
Llegada=77113, Procesamiento=766
Llegada=77156, Procesamiento=552
Llegada=77165, Procesamiento=895
Llegada=77301, Procesamiento=584
Llegada=77546, Procesamiento=476
Llegada=77644, Procesamiento=153
Llegada=77651, Procesamiento=382
Llegada=77726, Procesamiento=944
Llegada=77836, Procesamiento=968
Llegada=77990, Procesamiento=140
Llegada=78011, Procesamiento=765
Llegada=78169, Procesamiento=215
Llegada=78212, Procesamiento=174
Llegada=78229, Procesamiento=844
Llegada=78300, Procesamiento=130
Llegada=78418, Procesamiento=406
Llegada=78681, Procesamiento=328
Llegada=78724, Procesamiento=24
Llegada=78739, Procesamiento=942
Llegada=78767, Procesamiento=990
Llegada=78773, Procesamiento=57
Llegada=78795, Procesamiento=715
Llegada=78975, Procesamiento=696
Llegada=79032, Procesamiento=743
Llegada=79080, Procesamiento=84
Llegada=79085, Procesamiento=652
Llegada=79107, Procesamiento=659
Llegada=79123, Procesamiento=80
Llegada=79316, Procesamiento=745
Llegada=79332, Procesamiento=771
Llegada=79486, Procesamiento=294
Llegada=79850, Procesamiento=365
Llegada=79920, Procesamiento=217
Llegada=80025, Procesamiento=770
Llegada=80050, Procesamiento=366
Llegada=80061, Procesamiento=374
Llegada=80145, Procesamiento=897
Llegada=80194, Procesamiento=995
Llegada=80280, Procesamiento=698
Llegada=80356, Procesamiento=47
Llegada=80756, Procesamiento=12
Llegada=80800, Procesamiento=783
Llegada=80833, Procesamiento=202
Llegada=80943, Procesamiento=678
Llegada=81001, Procesamiento=69
Llegada=81004, Procesamiento=16
Llegada=81299, Procesamiento=132
Llegada=81378, Procesamiento=187
Llegada=81459, Procesamiento=634
Llegada=81486, Procesamiento=369
Llegada=81516, Procesamiento=681
Llegada=81568, Procesamiento=840
Llegada=81747, Procesamiento=473
